R,redcap,name,full,plottype
ghq_use_s1,ghq_use,Playing a useful part,Felt that you are playing a useful part in things?,stack
ghq_capable_s1,felt_capable_of_making_dec,Capable of making decisions,Felt capable of making decisions about things?,stack
ghq_strain_s1,ghqstrain,Under strain,Felt constantly under strain?,stack
ghq_diffs_s1,ghqdiff,Overcoming difficulties ,Felt you couldn't overcome your difficulties?,stack
ghq_day_s1,ghqday,Enjoying day to day activities ,Been able to enjoy your normal day-to-day activities?,stack
ghq_face_s1,been_able_to_face_up_to_yo,Facing up to problems,Been able to face up to your problems?,stack
ghq_depressed_s1,been_feeling_unhappy_and_d,Feeling unhappy or depressed,Been feeling unhappy and depressed?,stack
ghq_loseconf_s1,been_losing_confidence_in,Losing confidence in yourself,Been losing confidence in yourself?,stack
ghq_worthless_s1,been_thinking_of_yourself,Thinking of yourself as a worthless person,Been thinking of yourself as a worthless person?,stack
ghq_happy_s1,been_feeling_reasonably_ha,"Feeling happy, all things considered","Been feeling reasonably happy, all things considered?",stack
ppe.dondof_none_s1,donning_and_doffing___1,none,"Donning and doffing (gloves, gown, facemask, eye protection) (choice=No training)",
ppe.dondof_vid_s1,donning_and_doffing___2,video,"Donning and doffing (gloves, gown, facemask, eye protection) (choice=Formal instructional video)",
ppe.dondof_written_s1,donning_and_doffing___3,written,"Donning and doffing (gloves, gown, facemask, eye protection) (choice=Written instruction)",
ppe.dondof_sim_s1,donning_and_doffing___4,simulations,"Donning and doffing (gloves, gown, facemask, eye protection) (choice=Simulation training)",
ppe.dondof_dept_s1,donning_and_doffing___5,deptartmental guidance,"Donning and doffing (gloves, gown, facemask, eye protection) (choice=Departmental guidance)",
ppe.dondof_other_s1,donning_and_doffing___6,other,"Donning and doffing (gloves, gown, facemask, eye protection) (choice=Other)",
ppe.fit_none_s1,formal_fit_testing_for_mas___1,none,Formal fit testing for mask (choice=No training),
ppe.fit_vid_s1,formal_fit_testing_for_mas___2,video,Formal fit testing for mask (choice=Formal instructional video),
ppe.fit_written_s1,formal_fit_testing_for_mas___3,written,Formal fit testing for mask (choice=Written instruction),
ppe.fit_sim_s1,formal_fit_testing_for_mas___4,simulations,Formal fit testing for mask (choice=Simulation training),
ppe.fit_dept_s1,formal_fit_testing_for_mas___5,deptartmental guidance,Formal fit testing for mask (choice=Departmental guidance),
ppe.fit_other_s1,formal_fit_testing_for_mas___6,other,Formal fit testing for mask (choice=Other),
ppe.exp_none_s1,ppe_training_for_exposure___1,none,PPE training for exposure to aerosol generating procedure (e.g. intubation) (choice=No training),
ppe.exp_vid_s1,ppe_training_for_exposure___2,video,PPE training for exposure to aerosol generating procedure (e.g. intubation) (choice=Formal instructional video),
ppe.exp_written_s1,ppe_training_for_exposure___3,written,PPE training for exposure to aerosol generating procedure (e.g. intubation) (choice=Written instruction),
ppe.exp_sim_s1,ppe_training_for_exposure___4,simulations,PPE training for exposure to aerosol generating procedure (e.g. intubation) (choice=Simulation training),
ppe.exp_dept_s1,ppe_training_for_exposure___5,deptartmental guidance,PPE training for exposure to aerosol generating procedure (e.g. intubation) (choice=Departmental guidance),
ppe.exp_other_s1,ppe_training_for_exposure___6,other,PPE training for exposure to aerosol generating procedure (e.g. intubation) (choice=Other),
ft_ppe_s1,other_please_specify_3,,Other. Please specify. ,
ft_ppe_futher_s1,furtherppe,,If you have had any further PPE training please specify,
practicaled_none_s1,ppe_2___0,none,What practical education have you received in regards to the clinical care of patients presenting with suspected/diagnosed COVID-19? (choice=None),
practicaled_case_s1,ppe_2___1,Simulation training of a possible case,What practical education have you received in regards to the clinical care of patients presenting with suspected/diagnosed COVID-19? (choice=Simulation training of a possible case),
practicaled_aerosol_s1,ppe_2___2,Simulation training of a case requiring aerosol procedure,What practical education have you received in regards to the clinical care of patients presenting with suspected/diagnosed COVID-19? (choice=Simulation training of a case requiring aerosol procedure),
practicaled_other_s1,ppe_2___3,Other,What practical education have you received in regards to the clinical care of patients presenting with suspected/diagnosed COVID-19? (choice=Other),
ft_practicaled_s1,ppe_3,,You selected other. Please specify.,
guid_govt,departmental_guidance,Government,Government Guidance,stack
guid_college,online_governmental_guidan,College,College Guidance,stack
guid_trust,daily_governmental_tv_brie,Trust,Hospital Guidance,stack
guid_dept,twitter,Departmental guidance,Departmental guidance,stack
guid_sm,podcasts,Social Media,Social Media,stack
guid_blogs,facebook,Blogs and podcasts,Online blogs and podcasts,stack
guid_lit,peer_review_literature,peer-reviewed literature,Peer review literature,stack
confident_infectiontraining_s1,infec_train,Confidence in infection control training,How confident do you feel in the infection control training that has been provided to you?  ,bar
prepared_suspected_s1,recon_15,How prepared do you feel to provide direct care to suspected cases?,How prepared do you feel to provide direct care to suspected cases?,bar
prepared_normal_s1,recon_16,Care received by those not presenting with COVID-19 related symptoms ,How do you feel the care received by patients who are NOT presenting with either symptoms or a diagnosis of COVID-19 is?  ,bar
exposure_s1,how_many_suspected_cases_o,Exposure to suspected COVID-19 cases,How many  suspected cases of COVID-19 have you had direct clinical contact with since March 1st 2020?,bar
exposure_confirmed_s1,how_many_suspected_cases_o_2,"Exposure to confirmed COVID-19 cases
","As far as you are aware, how many of these suspected cases have turned out to be  confirmed  cases of COVID-19?",bar
increasesympmedical_s1,do_you_consider_yourself_t,Concern that exposure to COVID-19 will increase symptoms of an established medical health condition ,Are you concerned that the exposure to the COVID-19 outbreak may increase symptoms of any established medical health conditions? ,bar
increasesympmental_s1,ment_health,Concern that exposure to COVID-19 will increase symptoms of an established mental health condition,Are you concerned that the exposure to the COVID-19 outbreak may increase symptoms of any established mental health conditions? ,bar
perceived_risk_s1,perceived_risk,Feeling that personal health at risk due to clinical role ,I feel that my personal health is at risk during the COVID-19 outbreak due to my clinical role?,bar
worry_personal_s1,risk,Extent of worry about risks if personally infected with COVID-19,How worried are you about the potential risks if you were to become infected with COVID-19?,bar
worry_family_s1,worried,Extent of worry about risks if family or loved ones infected with COVID-19 due to participants clinical role,How worried are you about the potential risks to your family. loved ones or others due to your clinical role in the COVID-19 outbreak? ,bar
selfisolate_s1,self_isolate_2,Have you had to self-isolate?,Have you had to self-isolate?,bar
selfisolatereason_symptomspersonal_s1,self_isolate___1,personal symptoms,For what reason did you have to self-isolate? (choice=Personal symptoms),
selfisolatereason_diagnosispersonal_s1,self_isolate___5,personal diagnosis,For what reason did you have to self-isolate? (choice=Personal diagnosis of COVID-19),
selfisolatereason_symptomshousehold_s1,self_isolate___2,symptoms of a household member,For what reason did you have to self-isolate? (choice=Symptoms of a member of the household),
selfisolatereason_diagnosiswork_s1,self_isolate___3,exposure at work,For what reason did you have to self-isolate? (choice=Exposure to a positive case of COVID-19 in the work environment),
selfisolatereason_diagnosisplay_s1,self_isolate___4,exposure at home,For what reason did you have to self-isolate? (choice=Exposure to a positive case of COVID-19 in your personal environment),
selfisolatereason_other_s1,self_isolate___6,other,For what reason did you have to self-isolate? (choice=Other (eg return from travel to high risk area)),
ft_selfIsolatereason_s1,other_please_specify_eg_re,,Other - please specify ,
missedshifts_s1,self_isolate_3,How many clinical shifts in your rota have you missed due to self-isolation?,How many clinical shifts in your rota have you missed due to self-isolation?,
completedt_s1,date_survey_completed,Date survey completed,Date survey completed,
complete_s1,cera_survey_1_complete,Complete?,Complete?,
timestamp_s2,cera_survey_2_timestamp,Survey Timestamp,Survey Timestamp,
consent_s2,consent_2,I consent to taking part in CERA survey 2.,I consent to taking part in CERA survey 2.,
ethnicity_s2,ethnicity,Ethnicity ,What is your ethnicity?,
ghq_conc_s2,ghq_1,Concentration,Been able to concentrate on whatever you're doing?,
ghq_sleep_s2,ghq_2,Losing Sleep,Lost much sleep over worry?,
ghq_use_s2,ghq_3,Playing a useful part,Felt that you are playing a useful part in things?,
ghq_capable_s2,ghq_4,Capable of making decisions,Felt capable of making decisions about things?,
ghq_strain_s2,ghq_5,Under strain,Felt constantly under strain?,
ghq_diffs_s2,ghq_6,Overcoming difficulties ,Felt you couldn't overcome your difficulties?,
ghq_day_s2,ghq_7,Enjoying day to day activities ,Been able to enjoy your normal day-to-day activities?,
ghq_face_s2,ghq_8,Facing up to problems,Been able to face up to your problems?,
ghq_depressed_s2,ghq_9,Feeling unhappy or depressed,Been feeling unhappy and depressed?,
ghq_loseconf_s2,ghq_10,Losing confidence in yourself,Been losing confidence in yourself?,
ghq_worthless_s2,ghq_11,Thinking of yourself as a worthless person,Been thinking of yourself as a worthless person?,
ghq_happy_s2,ghq_12,"Feeling happy, all things considered","Been feeling reasonably happy, all things considered?",
iesr_reminder_s2,any_reminder_brought_back,Any reminder brought back feelings about it,Any reminder brought back feelings about it,
iesr_staysleep_s2,i_had_trouble_staying_asle,I had trouble staying asleep,I had trouble staying asleep,
iesr_things_s2,other_things_kept_me_think,Other things kept me thinking about it,Other things kept me thinking about it,
iesr_angry_s2,i_felt_irritable_and_angry,I felt irritable and angry,I felt irritable and angry,
iesr_avoid_s2,i_avoided_letting_myself_g,I avoided letting myself get upset when I thought about it or was reminded of it,I avoided letting myself get upset when I thought about it or was reminded of it,
iesr_thought_s2,i_thought_about_it_when_i,I thought about it when I didn't mean to,I thought about it when I didn't mean to,
iesr_real_s2,i_felt_as_if_it_hadn_t_hap,I felt as if it hadn't happened or wasn't real,I felt as if it hadn't happened or wasn't real,
iesr_away_s2,i_stayed_away_from_reminde,I stayed away from reminders of it,I stayed away from reminders of it,
iesr_pics_s2,pictures_about_it_popped_i,Pictures about it popped into my head,Pictures about it popped into my head,
iesr_jumpy_s2,i_was_jumpy_and_easily_sta,I was jumpy and easily startled,I was jumpy and easily startled,
iesr_notthink_s2,i_tried_not_to_think_about,I tried not to think about it,I tried not to think about it,
iesr_aware_s2,i_was_aware_that_i_still_h,"I was aware that I still had a lot of feelings about it, but I didn't deal with them","I was aware that I still had a lot of feelings about it, but I didn't deal with them",
iesr_numb_s2,my_feelings_about_it_were,My feelings about it were kind of numb,My feelings about it were kind of numb,
iesr_acting_s2,i_found_myself_acting_or_f,I found myself acting or feeling like I was back at that time,I found myself acting or feeling like I was back at that time,
iesr_fallsleep_s2,i_had_trouble_falling_asle,I had trouble falling asleep,I had trouble falling asleep,
iesr_waves_s2,i_had_waves_of_strong_feel,I had waves of strong feelings about it,I had waves of strong feelings about it,
iesr_remove_s2,i_tried_to_remove_it_from,I tried to remove it from my memory,I tried to remove it from my memory,
iesr_conc_s2,i_had_trouble_concentratin,I had trouble concentrating,I had trouble concentrating,
iesr_reactions_s2,reminders_of_it_caused_me,"Reminders of it caused me to have physical reactions, such as sweating, trouble breathing, nausea or a pounding heart","Reminders of it caused me to have physical reactions, such as sweating, trouble breathing, nausea or a pounding heart",
iesr_dreams_s2,i_had_dreams_about_it,I had dreams about it,I had dreams about it,
iesr_watchful_s2,i_felt_watchful_and_on_gua,I felt watchful and on-guard,I felt watchful and on-guard,
iesr_nottalk_s2,i_tried_not_to_talk_about,I tried not to talk about it,I tried not to talk about it,
ppe.dondof_none_s2,donning_and_doffing2___1,none,"Donning and doffing (gloves, gown, facemask, eye protection) (choice=No training)",
ppe.dondof_vid_s2,donning_and_doffing2___2,video,"Donning and doffing (gloves, gown, facemask, eye protection) (choice=Formal instructional video)",
ppe.dondof_written_s2,donning_and_doffing2___3,written,"Donning and doffing (gloves, gown, facemask, eye protection) (choice=Written instruction)",
ppe.dondof_sim_s2,donning_and_doffing2___4,simulations,"Donning and doffing (gloves, gown, facemask, eye protection) (choice=Simulation training)",
ppe.dondof_dept_s2,donning_and_doffing2___5,deptartmental guidance,"Donning and doffing (gloves, gown, facemask, eye protection) (choice=Departmental guidance)",
ppe.dondof_other_s2,donning_and_doffing2___6,other,"Donning and doffing (gloves, gown, facemask, eye protection) (choice=Other)",
ppe.fit_none_s2,formal_fit_testing2___1,none,Formal fit testing for mask (choice=No training),
ppe.fit_vid_s2,formal_fit_testing2___2,video,Formal fit testing for mask (choice=Formal instructional video),
ppe.fit_written_s2,formal_fit_testing2___3,written,Formal fit testing for mask (choice=Written instruction),
ppe.fit_sim_s2,formal_fit_testing2___4,simulations,Formal fit testing for mask (choice=Simulation training),
ppe.fit_dept_s2,formal_fit_testing2___5,deptartmental guidance,Formal fit testing for mask (choice=Departmental guidance),
ppe.fit_other_s2,formal_fit_testing2___6,other,Formal fit testing for mask (choice=Other),
ppe.exp_none_s2,ppe_training_for_exposure2___1,none,PPE training for exposure to aerosol generating procedure (e.g. intubation) (choice=No training),
ppe.exp_vid_s2,ppe_training_for_exposure2___2,video,PPE training for exposure to aerosol generating procedure (e.g. intubation) (choice=Formal instructional video),
ppe.exp_written_s2,ppe_training_for_exposure2___3,written,PPE training for exposure to aerosol generating procedure (e.g. intubation) (choice=Written instruction),
ppe.exp_sim_s2,ppe_training_for_exposure2___4,simulations,PPE training for exposure to aerosol generating procedure (e.g. intubation) (choice=Simulation training),
ppe.exp_dept_s2,ppe_training_for_exposure2___5,deptartmental guidance,PPE training for exposure to aerosol generating procedure (e.g. intubation) (choice=Departmental guidance),
ppe.exp_other_s2,ppe_training_for_exposure2___6,other,PPE training for exposure to aerosol generating procedure (e.g. intubation) (choice=Other),
practicaled_none_s2,ppe_22___0,none,What practical education have you received in regards to the clinical care of patients presenting with suspected/diagnosed COVID-19? (select all that apply) (choice=None),
practicaled_case_s2,ppe_22___1,Simulation training of a possible case,What practical education have you received in regards to the clinical care of patients presenting with suspected/diagnosed COVID-19? (select all that apply) (choice=Simulation training of a possible case),
practicaled_aerosol_s2,ppe_22___2,Simulation training of a case requiring aerosol procedure,What practical education have you received in regards to the clinical care of patients presenting with suspected/diagnosed COVID-19? (select all that apply) (choice=Simulation training of a case requiring aerosol generating procedure),
practicaled_other_s2,ppe_22___3,Other,What practical education have you received in regards to the clinical care of patients presenting with suspected/diagnosed COVID-19? (select all that apply) (choice=Other),
ft_practicaled_s2,other_please_specify3,,"You have selected other, please specify.",
confident_infectiontraining_s2,infec_train2,Confidence in infection control training,How confident do you feel in the infection control training that has been provided to you?  ,
prepared_suspected_s2,recon_152,How prepared do you feel to provide direct care to suspected cases?,How prepared do you feel to provide direct care to suspected cases?,
prepared_normal_s2,recon_162,Care received by those not presenting with COVID-19 related symptoms ,How do you feel the care received by patients who are NOT presenting with either symptoms or a diagnosis of COVID-19 is?  ,
redeployed_s2,have_you_been_deployed_to2,Re-deployment at peak,Have you been deployed to a different  clinical area as a result of the COVID-19 outbreak?,
redeployed_where_s2,re_deployed2,Re-deployment at peak- location,Where have you been redeployed to?,
ft_redeployed_s2,other_please_specify2,Re-deployment at peak location - other,"You have selected other, please specify.",
redeployed_satisfaction_s2,how_happy_are_you_with_2,Re-deployment at peak satisfaction ,How satisfied are you with this redeployment?    ,
redeployed_satisfactionprev_s2,how_happy_are_you_with_3,"Satisfaction with redeployment during acceleration phase, at peak phase","In survey 1, you stated you had been re-deployed. How satisfied are you with this redeployment now?    ",
exposure_s2,how_many_suspected_cases_o2,Exposure to suspected COVID-19 cases,How many  suspected cases of COVID-19 have you had direct clinical contact with since March 1st 2020?,
exposure_confirmed_s2,how_many_suspected_cases_o_22,"Exposure to confirmed COVID-19 cases
","As far as you are aware, how many of these suspected cases have turned out to be  confirmed  cases of COVID-19?",
witness_death_s2,covid_19_death,How many patients have you witnessed dying with COVID-19?,How many patients have you witnessed dying with COVID-19?,
increasesympmedical_s2,do_you_consider_yourself_t2,Presence of a pre-existing physical health condition(s) that may increase of suffering more severe COVID-19 disease?,Do you have a pre-existing physical health condition(s) that may increase your chances of suffering more severe COVID-19 disease?,
increasesympmental_s2,ment_health2,Concern that exposure to COVID-19 will increase symptoms of an established mental health condition,Are you concerned that the exposure to the COVID-19 outbreak may increase symptoms of any established mental health conditions? ,
trauma_s2,trauma,Previous significant trauma,"Over the course of your life prior to the recent pandemic, have you experienced what you would characterise as a significant trauma?",
death_risk_s2,risk_death,Feelings of high risk of dying/death,"During the COVID-19 pandemic, have you felt at high risk of dying/death?",
perceived_risk_s2,perceived_risk2,Perceived risk to health due to clinical role,I feel that my personal health is at risk during the COVID-19 outbreak due to my clinical role?,
worry_personal_s2,risk2,Extent of worry about risks if personally infected with COVID-19,How worried are you about the potential risks if you were to become infected with COVID-19?,
worry_family_s2,worried2,Extent of worry about risks if family or loved ones infected with COVID-19 due to participants clinical role,"How worried are you about the potential risks to your family, loved ones or others due to your clinical role in the COVID-19 outbreak? ",
unwellfam_home_s2,unwell_fam___1,"Have any of your family, friends or loved ones become unwell or died due to COVID-19 or its complications? 1","Have any of your family, friends or loved ones become unwell or died due to COVID-19 or its complications? (select all that apply) (choice=Unwell at home)",
unwellfam_ward_s2,unwell_fam___2,"Have any of your family, friends or loved ones become unwell or died due to COVID-19 or its complications? 2","Have any of your family, friends or loved ones become unwell or died due to COVID-19 or its complications? (select all that apply) (choice=Unwell and required ward level/HDU hospital treatment)",
unwellfam_icu_s2,unwell_fam___3,"Have any of your family, friends or loved ones become unwell or died due to COVID-19 or its complications? 3","Have any of your family, friends or loved ones become unwell or died due to COVID-19 or its complications? (select all that apply) (choice=Unwell and required ICU treatment)",
unwellfam_died_s2,unwell_fam___4,"Have any of your family, friends or loved ones become unwell or died due to COVID-19 or its complications? 4","Have any of your family, friends or loved ones become unwell or died due to COVID-19 or its complications? (select all that apply) (choice=Died)",
unwellfam_none_s2,unwell_fam___5,"Have any of your family, friends or loved ones become unwell or died due to COVID-19 or its complications? 5","Have any of your family, friends or loved ones become unwell or died due to COVID-19 or its complications? (select all that apply) (choice=None of the above)",
unwellcol_home_s2,unwell_colleague___1,Have any of your colleagues become unwell or died due to COVID-19 or its complications? 1,Have any of your colleagues become unwell or died due to COVID-19 or its complications? (select all that apply) (choice=Unwell at home),
unwellcol_ward_s2,unwell_colleague___2,Have any of your colleagues become unwell or died due to COVID-19 or its complications? 2,Have any of your colleagues become unwell or died due to COVID-19 or its complications? (select all that apply) (choice=Unwell and required ward level/HDU hospital treatment),
unwellcol_icu_s2,unwell_colleague___3,Have any of your colleagues become unwell or died due to COVID-19 or its complications? 3,Have any of your colleagues become unwell or died due to COVID-19 or its complications? (select all that apply) (choice=Unwell and required ICU treatment),
unwellcol_died_s2,unwell_colleague___4,Have any of your colleagues become unwell or died due to COVID-19 or its complications? 4,Have any of your colleagues become unwell or died due to COVID-19 or its complications? (select all that apply) (choice=Died),
unwellcol_none_s2,unwell_colleague___5,Have any of your colleagues become unwell or died due to COVID-19 or its complications? 5,Have any of your colleagues become unwell or died due to COVID-19 or its complications? (select all that apply) (choice=None of the above),
supportfam_s2,support_fam1,Feelings of support from family,In the last 2 weeks I have felt well supported by friends and family,
supportcol_s2,support_coll2,Feeling of support from colleagues,In the last 2 weeks I have felt well supported by the senior clinical leadership team,
coviddiag_s2,diagnosis,Personal Positive Coronavirus diagnosis,Have you received a positive diagnosis of Coronavirus during this pandemic?,
covidadmit_s2,hospital,Personal admission to hospital due to COVID-19,Have you been admitted to hospital due to your diagnosis of Coronavirus?,
selfisolate_s2,self_isolate_22,Self-isolation ,Have you had to self-isolate?,
selfisolatereason_symptomspersonal_s2,self_isolate2___1,personal symptoms,For what reason did you have to self-isolate? (select all that apply) (choice=Personal symptoms),
selfisolatereason_diagnosispersonal_s2,self_isolate2___5,personal diagnosis,For what reason did you have to self-isolate? (select all that apply) (choice=Personal diagnosis of COVID-19),
selfisolatereason_symptomshousehold_s2,self_isolate2___2,symptoms of a household member,For what reason did you have to self-isolate? (select all that apply) (choice=Symptoms of a member of the household),
selfisolatereason_diagnosiswork_s2,self_isolate2___3,exposure at work,For what reason did you have to self-isolate? (select all that apply) (choice=Exposure to a positive case of COVID-19 in the work environment),
selfisolatereason_diagnosisplay_s2,self_isolate2___4,exposure at home,For what reason did you have to self-isolate? (select all that apply) (choice=Exposure to a positive case of COVID-19 in your personal environment),
selfisolatereason_other_s2,self_isolate2___6,other,For what reason did you have to self-isolate? (select all that apply) (choice=Other (eg return from travel to high risk area)),
missedshifts_s2,self_isolate_32,How many clinical shifts in your rota have you missed due to self-isolation?,How many clinical shifts in your rota have you missed due to self-isolation?,
psychint_therapist_s2,psych_inter___1,have you been offered psychological support? 1,Have you been offered any of the following psychological interventions via your current place of work? (Select all that apply) (choice=Structured individual therapy with a therapist (in person/on telephone)),
psychint_helpline_s2,psych_inter___2,have you been offered psychological support? 2,Have you been offered any of the following psychological interventions via your current place of work? (Select all that apply) (choice=Advice line / helpline),
psychint_webint_s2,psych_inter___3,have you been offered psychological support? 3,Have you been offered any of the following psychological interventions via your current place of work? (Select all that apply) (choice=Internet based psychological intervention),
psychint_app_s2,psych_inter___4,have you been offered psychological support? 4,Have you been offered any of the following psychological interventions via your current place of work? (Select all that apply) (choice=Well-being app / website),
psychint_trim_s2,psych_inter___5,have you been offered psychological support? 5,Have you been offered any of the following psychological interventions via your current place of work? (Select all that apply) (choice=Brief TRiM / safe space session (trauma risk management)),
psychint_other_s2,psych_inter___6,have you been offered psychological support? 6,Have you been offered any of the following psychological interventions via your current place of work? (Select all that apply) (choice=Other please state),
ft_psychint_s2,psych_other,have you been offered psychological support? 7,"Other, please specify",
feelings_contribution_s2,work___1,Post trauma growth 1,During your time working in the COVID-19 pandemic have you experienced any of the following? (Select all that apply) (choice=Feelings that you made a contribution),
feelings_accomplish_s2,work___2,Post trauma growth 2,During your time working in the COVID-19 pandemic have you experienced any of the following? (Select all that apply) (choice=A sense of personal accomplishment),
feelings_confidence_s2,work___3,Post trauma growth 3,During your time working in the COVID-19 pandemic have you experienced any of the following? (Select all that apply) (choice=Improved confidence and self esteem),
feelings_compassion_s2,work___4,Post trauma growth 4,During your time working in the COVID-19 pandemic have you experienced any of the following? (Select all that apply) (choice=Increased compassion),
feelings_purpose_s2,work___5,Post trauma growth 5,During your time working in the COVID-19 pandemic have you experienced any of the following? (Select all that apply) (choice=Re-evaluation of self and purpose),
feelings_satisfaction_s2,work___6,Post trauma growth 6,During your time working in the COVID-19 pandemic have you experienced any of the following? (Select all that apply) (choice=Work satisfaction),
feelings_cohesion_s2,work___7,Post trauma growth 7,During your time working in the COVID-19 pandemic have you experienced any of the following? (Select all that apply) (choice=A sense of team cohesion),
contact_s2,contact,Further research ,Would you be happy to be contacted about any further COVID-19 related research focusing on the psychological impact on Doctors?,
complete_s2,cera_survey_2_complete,,Complete?,
timestamp_s3,cera_survey_3_timestamp,,Survey Timestamp,
consent_s3,consent_2_3,Consent,I consent to taking part in CERA survey 3.,
ghq_conc_s3,ghq_1_3,Concentration,Been able to concentrate on whatever you're doing?,
ghq_sleep_s3,ghq_2_3,Losing Sleep,Lost much sleep over worry?,
ghq_use_s3,ghq_3_3,Playing a useful part,Felt that you are playing a useful part in things?,
ghq_capable_s3,ghq_4_3,Capable of making decisions,Felt capable of making decisions about things?,
ghq_strain_s3,ghq_5_3,Under strain,Felt constantly under strain?,
ghq_diffs_s3,ghq_6_3,Overcoming difficulties ,Felt you couldn't overcome your difficulties?,
ghq_day_s3,ghq_7_3,Enjoying day to day activities ,Been able to enjoy your normal day-to-day activities?,
ghq_face_s3,ghq_8_3,Facing up to problems,Been able to face up to your problems?,
ghq_depressed_s3,ghq_9_3,Feeling unhappy or depressed,Been feeling unhappy and depressed?,
ghq_loseconf_s3,ghq_10_3,Losing confidence in yourself,Been losing confidence in yourself?,
ghq_worthless_s3,ghq_11_3,Thinking of yourself as a worthless person,Been thinking of yourself as a worthless person?,
ghq_happy_s3,ghq_12_3,"Feeling happy, all things considered","Been feeling reasonably happy, all things considered?",
iesr_reminder_s3,any_reminder_brought_back_3,Any reminder brought back feelings about it,Any reminder brought back feelings about it,
iesr_staysleep_s3,i_had_trouble_staying_asle_3,I had trouble staying asleep,I had trouble staying asleep,
